timestamp,method,n_gpus,seq_len,embedding_size,dtype,max_batch
2025-10-07T07:10:29.953532,DP,1,256,2560,float32,0
2025-10-07T07:14:22.959654,DP,1,256,2560,float32,0
2025-10-07T07:17:37.111095,DP,1,256,2560,float32,0
2025-10-07T07:24:26.540240,DP,1,256,2560,float32,0
2025-10-07T07:44:25.089164,DP,1,256,2560,float32,0
2025-10-07T07:47:01.623301,DP,1,1024,2560,float32,0
2025-10-07T07:48:31.292570,DP,1,512,2560,float32,0
2025-10-07T07:50:13.183093,DP,1,256,2560,float32,0
2025-10-09T22:09:23.477837,DP,4,256,2560,float32,25
2025-10-09T22:12:10.756125,DP,2,256,2560,float32,50
2025-10-09T22:40:57.121063,DP,2,256,2560,float32,2
2025-10-09T22:48:32.886798,DP,2,128,2560,float32,6
2025-10-09T22:56:45.960296,DP,2,128,2560,float32,6
2025-10-09T23:09:48.479568,DP,2,128,2560,float32,6
2025-10-09T23:11:59.182340,TP,2,128,2560,float32,7
